측정번호,시간,입력전류(A),출력전압(V),저항(Ω),면저항(Ω/sq)
1,2026-03-04 20:36:54,5.00e-05,8.461017e-01,16922.0340,76696.7502
2,2026-03-04 20:36:56,5.00e-05,2.455530e+00,49110.6000,222586.9195
3,2026-03-04 20:36:57,5.00e-05,1.842631e-01,3685.2620,16702.9341
4,2026-03-04 20:36:58,5.00e-05,1.689995e+00,33799.9000,153193.3151
5,2026-03-04 20:36:59,5.00e-05,1.698678e+00,33973.5600,153980.4047
6,2026-03-04 20:37:00,5.00e-05,3.718068e+00,74361.3600,337032.4543
7,2026-03-04 20:37:01,5.00e-05,2.648406e+00,52968.1200,240070.5889
8,2026-03-04 20:37:02,5.00e-05,2.090350e+00,41807.0000,189484.3749
9,2026-03-04 20:37:03,5.00e-05,1.872526e+00,37450.5200,169739.2392
10,2026-03-04 20:37:04,5.00e-05,1.471676e+00,29433.5200,133403.3090
